项目进度表：（基于ESP32的宿舍火灾报警系统）,,,,,,,,,,,,,,,,,,,,,,,,

时间,,2024年9月7日-28日,,,,,,,,,,,,,,,,,,,,,,
项目,工序,时间,休,休,休,休,休,休,休,休,休,休,休,休,休,休,休,休,休,休,休,休,休,休
,,,日,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
立项,课题调研,2024年9月,F,,,,,,,,,,,,,,,,,,,,,
立项,技术调研,2024年9月,A,,,,,,,,,,,,,,,,,,,,,
硬件设计,硬件方案设计,2024年9月,,,,,,F,,,,,,,,,,,,,,,,
硬件设计,原理图设计,2024年9月,,,,,,,F,,,,,,,,,,,,,,,
硬件设计,PCB布局设计,2024年9月,,,,,,,F,,,,,,,,,,,,,,,
硬件设计,BOM表制作,2024年9月,,,,,,,F,,,,,,,,,,,,,,,
硬件设计,硬件测试准备,2024年9月,,,,,,,,F,,,,,,,,,,,,,,
硬件设计,BOM表提交,2024年9月,,,,,,,,F,,,,,,,,,,,,,,
软件设计,软件框架设计,2024年9月,,,,,,A,,,,,,,,,,,,,,,,
软件设计,开发环境搭建,2024年9月,,,,,,,A,,,,,,,,,,,,,,,
软件设计,数据库设计,2024年9月,,,,,,,A,,,,,,,,,,,,,,,
软件设计,API接口设计,2024年9月,,,,,,,A,,,,,,,,,,,,,,,
软件设计,前端界面设计,2024年9月,,,,,,,,A,,,,,,,,,,,,,,
软件设计,后端框架搭建,2024年9月,,,,,,,,A,,,,,,,,,,,,,,
硬件实现,PCB焊接组装,2024年9月,,,,,,,,,F,,,,,,,,,,,,,
硬件实现,传感器调试,2024年9月,,,,,,,,,F,,,,,,,,,,,,,
软件实现,API接口开发,2024年9月,,,,,,,,,A,,,,,,,,,,,,,
软件实现,后端开发,2024年9月,,,,,,,,,A,,,,,,,,,,,,,
硬件实现,ESP32烧录测试,2024年9月,,,,,,,,,,,,,,F,,,,,,,,
硬件实现,硬件功能测试,2024年9月,,,,,,,,,,,,,,F,,,,,,,,
软件实现,前端页面开发,2024年9月,,,,,,,,,,,,,,A,,,,,,,,
软件实现,前后端联调,2024年9月,,,,,,,,,,,,,,,,,,,,,,
软件实现,系统集成测试,2024年9月,,,,,,,,,,,,,,,F,,,,,,,
硬件实现,硬件优化修改,2024年9月,,,,,,,,,,,,,,,F,,,,,,,
硬件实现,整体硬件调试,2024年9月,,,,,,,,,,,,,,,A,,,,,,,
软件实现,软件bug修复,2024年9月,,,,,,,,,,,,,,,A,,,,,,,
软件实现,算法优化,2024年9月,,,,,,,,,,,,,,,A,,,,,,,
软件实现,性能优化,2024年9月,,,,,,,,,,,,,,,,,,,,,,
系统测试,系统联调,2024年9月,,,,,,,,,,,,,,,,,,,,,F,
系统测试,传感器校准,2024年9月,,,,,,,,,,,,,,,,,,,,,F,
软件设计,用户体验优化,2024年9月,,,,,,,,,,,,,,,,,,,,,A,
软件设计,软件文档编写,2024年9月,,,,,,,,,,,,,,,,,,,,,A,
系统测试,稳定性测试,2024年9月,,,,,,,,,,,,,,,,,,,,,,F
系统测试,功耗测试,2024年9月,,,,,,,,,,,,,,,,,,,,,,F
系统测试,硬件文档编写,2024年9月,,,,,,,,,,,,,,,,,,,,,,F
文档编写,项目演示准备,2024年9月,,,,,,,,,,,,,,,,,,,,,,A
文档编写,项目演示准备,2024年9月,,,,,,,,,,,,,,,,,,,,,,A
项目交付,项目答辩,2024年9月,,,,,,,,,,,,,,,,,,,,,,F
项目交付,项目答辩,2024年9月,,,,,,,,,,,,,,,,,,,,,,A
项目交付,项目答辩,2024年9月,,,,,,,,,,,,,,,,,,,,,,F
项目交付,项目答辩,2024年9月,,,,,,,,,,,,,,,,,,,,,,A

"注意: F=硬件工程师, A=软件工程师, 空白=无课或无任务",,,,,,,,,,,,,,,,,,,,,,,,
