项目进度表：（课题名称）																																																																
时间			2024年7月	2024年7月																														2024年8月																														
																																																																
																																																																
项目	工序		休						休	休						休	休						休	休						休	休					休	休						休	休						休	休						休	休						休
			日	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
立项	商务	定点合同敲定	F																																																													
			A																																																													
	项目	方案调研	F																																																													
			A																																																													
结构	结构设计	外观结构确认	F																																																													
			A																																																													
		结构评审	F																																																													
			A																																																													
A样工程样品阶段	硬件研发	原理图设计	F																																																													
			A																																																													
		原理图评审	F																																																													
			A																																																													
		layout设计	F																																																													
			A																																																													
		layout评审	F																																																													
			A																																																													
		BOM发布	F																																																													
			A																																																													
		制板文件输出	F																																																													
			A																																																													
		试制PCB	F																																																													
			A																																																													
	软件研发	软件框架设计	F																																																													
			A																																																													
		模块功能开发	F																																																													
			A																																																													
		系统集成	F																																																													
			A																																																													
	备料	物控发布申购单	F																																																													
			A																																																													
		采购物料	F																																																													
			A																																																													
	试产贴片	生产计划安排	F																																																													
			A																																																													
		贴片	F																																																													
			A																																																													
		试产总结	F																																																													
			A																																																													
	调试测试	软硬件联调	F																																																													
			A																																																													
		软件测试	F																																																													
			A																																																													
	综合测试	A样测试组测试	F																																																													
			A																																																													
		A样输出	F																																																													
			A																																																													
	综合测试	测试组测试	F																																																													
	工程样品评审	硬件评审	F																																																													
		软件评审	F																																																													
		厂线工艺评审	F																																																													
DVPV	电器	A样机进行测试	F																																																													
	机械	A样机进行测试	F																																																													
	环境	A样机进行测试	F																																																													
	EMC	A样机进行测试	F																																																													
批量	备料	小批量备料	F																																																													
	小批量	试制小批量产品	F																																																													
物质	ELV	禁限用物质（待定）	F																																																													
国内强制认证	CCC	待定（B样机）	F																																																													
	SRRC	待定（B样机）	F																																																													
	NAL	待定（B样机）	F																																																													
国外强制认证	CE	待定（B样机）	F																																																													
	R10	待定（B样机）	F																																																													
	Reach	待定（B样机）	F																																																													
																																																																
																																																																
注意:	           	计划进度 																 																																														
